"Timestamp","Occupancy","Capacity","Price","time","diff"
"2016-10-26 10:26:00","403","470","10.857446806686283","1751633637258","1"
"2016-10-24 14:30:00","1183","2009","10.588850173922921","1751633637258","1"
"2016-10-07 15:04:00","347","470","10.738297870769578","1751633637258","1"
"2016-11-21 12:31:00","348","387","10.899224803877972","1751633637258","1"
"2016-10-26 15:26:00","238","577","10.41247833550697","1751633637258","1"
"2016-10-28 14:29:00","414","470","10.880851061955635","1751633637258","1"
"2016-11-25 13:27:00","373","470","10.79361701958805","1751633637258","1"
"2016-10-31 16:26:00","301","2803","10.107384944663794","1751633637258","1"
"2016-12-13 10:29:00","1380","1920","10.71874999962565","1751633637258","1"
"2016-11-09 14:00:00","460","470","10.978723402172928","1751633637258","1"
"2016-11-16 11:27:00","780","1322","10.590015128146735","1751633637258","1"
"2016-11-28 12:01:00","624","2803","10.22261862282461","1751633637258","1"
"2016-10-06 11:30:00","1363","2009","10.678446988213814","1751633637258","1"
"2016-11-15 13:30:00","339","387","10.875968989984576","1751633637258","1"
"2016-11-19 13:31:00","240","690","10.347826086452425","1751633637258","1"
"2016-11-02 12:30:00","546","2803","10.194791294971534","1751633637258","1"
"2016-11-13 09:00:00","264","485","10.544329895784887","1751633637258","1"
"2016-11-05 15:26:00","937","2937","10.31903302678957","1751633637258","1"
"2016-10-04 13:29:00","375","485","10.77319587469444","1751633637258","1"
"2016-11-23 08:57:00","469","1200","10.390833333007638","1751633637258","1"
"2016-12-02 12:01:00","618","2803","10.220478059143604","1751633637258","1"
"2016-12-09 14:56:00","609","2803","10.217267213622096","1751633637258","1"
"2016-11-03 16:30:00","1032","2937","10.351378958000893","1751633637258","1"
"2016-10-28 08:16:00","216","1200","10.17999999985","1751633637258","1"
"2016-10-17 15:31:00","334","485","10.688659792394516","1751633637258","1"
"2016-10-07 12:30:00","544","690","10.788405795958832","1751633637258","1"
"2016-11-07 08:00:00","515","3103","10.165968417606843","1751633637258","1"
"2016-11-10 08:34:00","281","2803","10.100249732393774","1751633637258","1"
"2016-12-12 15:29:00","355","470","10.755319147329109","1751633637258","1"
